"Yr","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annl"
"1991","0.01","0.21","1.42","0.47","0.50","0.39","0.04","0.24","0.60","0.23","0.89","0.15","5.15"
"1992","0.13","0.45","0.69","0.06","0.10","1.12","0.15","0.28","T","0.45","0.06","1.87","5.36"
"1993","2.42","1.27","0.55","0.01","0.27","0.35","T","T","T","1.42","0.13","0.16","6.58"
"1994","0.06","0.62","1.00","0.03","1.39","0.00","0.09","0.00","0.15","0.23","1.47","0.16","5.20"
"1995","3.31","0.20","2.87","0.40","1.81","1.29","0.22","T","T","0.00","0.19","2.27","12.56"
"1996","1.33","2.30","1.63","0.16","1.07","0.71","0.20","0.16","0.45","0.28","0.89","3.03","12.21"
"1997","3.32","0.71","0.01","0.22","0.13","1.17","0.04","T","0.55","0.16","0.86","0.58","7.75"
"1998","1.10","2.59","2.21","0.60","0.82","1.39","T","T","2.17","0.34","0.77","0.04","12.03"
"1999","0.76","1.25","0.11","0.55","0.20","0.06","0.10","M0.82","0.07","0.42","0.01","0.07","4.42"
"2000","2.14","0.98","0.38","0.34","0.23","0.23","0.00","0.79","0.04","0.04","0.40","0.14","5.71"
"2001","0.31","0.18","0.15","0.66","T","0.09","0.07","T","0.09","0.14","0.83","1.83","4.35"
"2002","0.59","0.24","0.42","1.21","0.20","0.10","0.12","0.82","T","0.12","1.08","2.18","7.08"
"2003","0.17","0.23","0.31","0.83","0.04","0.38","0.23","1.01","0.01","0.03","0.12","1.22","4.58"
"2004","0.96","1.56","1.26","T","0.32","0.20","T","0.28","0.01","1.58","1.53","1.71","9.41"
"2005","1.78","0.84","0.42","0.61","0.59","0.37","0.59","0.10","T","0.03","0.18","3.88","9.39"
"2006","1.60","1.04","0.92","1.88","0.31","T","0.34","T","0.00","0.42","0.25","0.41","7.17"
"2007","0.13","1.01","0.03","0.18","0.16","0.12","T","0.16","0.44","0.19","0.25","1.06","3.73"
"2008","2.80","0.78","0.07","T","0.56","T","0.34","T","0.01","0.11","0.92","0.50","6.09"
"2009","0.51","0.21","1.61","0.35","0.50","1.52","0.01","0.01","T","1.50","0.24","1.79","8.25"
"2010","0.95","2.18","0.18","0.68","0.30","T","0.34","0.13","0.00","2.65","0.45","1.39","9.25"
"2011","0.10","1.35","1.28","0.11","0.40","1.35","T","T","0.03","0.24","0.06","0.00","4.92"
"2012","1.54","0.60","0.11","0.07","0.30","T","0.02","0.01","0.08","0.08","0.85","2.11","5.77"
"2013","0.12","T","0.29","0.23","0.67","0.16","0.49","1.08","0.02","0.06","0.49","0.41","4.02"
"2014","0.38","0.69","0.08","0.31","0.54","T","0.20","1.08","0.29","0.18","0.31","0.93","4.99"
"2015","0.06","1.43","0.01","0.35","1.01","0.93","0.51","0.11","0.16","1.10","2.10","0.75","8.52"
"2016","1.70","0.42","0.97","0.96","1.16","T","0.00","0.04","T","2.43","0.15","1.21","9.04"
"2017","5.57","3.42","0.87","0.68","0.61","0.12","0.04","0.16","0.69","0.28","1.18","0.11","13.73"
"2018","0.67","0.20","2.35","0.54","1.84","0.10","1.29","T","T","0.26","0.92","1.09","9.26"
"2019","2.92","3.84","1.12","0.24","0.39","T","0.25","T","0.29","T","0.40","1.69","11.14"
"2020","0.13","0.04","0.79","0.38","0.05","0.09","0.24","0.13","0.00","0.00","0.59","0.28","2.72"
"2021","1.30","0.12","0.06","T","0.13","0.14","0.30","T","0.09","3.14","0.11","3.00","8.39"
"2022","0.00","0.44","0.03","0.25","0.01","T","0.00","1.72","0.25","0.01","0.40","5.23","8.34"
"2023","2.44","1.07","1.95","0.18","2.44","0.63","T","0.42","0.61","0.05","0.27","0.40","10.46"
"2024","1.10","1.53","2.20","0.25","T","T","0.55","0.09","0.25","0.22","0.19","0.66","7.04"
